,job_title,company,salary,location,salary_mean,Temporality,Annualized,Seniority
0,Data Analyst,Fifty-Five,39.056 €/año,Paris,39,Yearly,39000,Not determined
1,Data Analyst,Criteo,43.140 €/año,Paris,43,Yearly,43000,Not determined
2,Data Analyst,AXA,40.000 €/año,Paris,40,Yearly,40000,Not determined
3,Data Analyst - Becario por mes,Criteo,1.522 €/mes,Paris,2,Monthly,24000,Internship
4,Data Analyst,Contentsquare,41.182 €/año,Paris,41,Yearly,41000,Not determined
5,Data Analyst,Ubisoft,44.465 €/año,Paris,44,Yearly,44000,Not determined
6,Data Analyst,Orange,48.000 €/año,Paris,48,Yearly,48000,Not determined
7,Data Analyst,Renault,37.991 €/año,Paris,38,Yearly,38000,Not determined
8,Data Analyst - Por mes,EDF,1.268 €/mes,Paris,1,Monthly,12000,Not determined
9,Data Analyst - Becario por mes,AXA,1.605 €/mes,Paris,2,Monthly,24000,Internship
10,Data Analyst - Becario por mes,TOTAL,1.043 €/mes,Paris,1,Monthly,12000,Internship
11,Data Analyst,Saint-Gobain,41.110 €/año,Paris,41,Yearly,41000,Not determined
12,Data Analyst,Organisation for Economic Co-operation and Development,55.147 €/año,Paris,55,Yearly,55000,Not determined
13,Data Analyst,Cegedim,40.000 €/año,Paris,40,Yearly,40000,Not determined
14,Data Analyst,BlaBlaCar,43.297 €/año,Paris,43,Yearly,43000,Not determined
15,Data Analyst,Dailymotion,52.000 €/año,Paris,52,Yearly,52000,Not determined
16,Data Analyst,Kisio,33.050 €/año,Paris,33,Yearly,33000,Not determined
17,Data Analyst,Ada,100.268 €/año,Paris,100,Yearly,100000,Not determined
18,Data Analyst - Becario por mes,Société Générale,1.514 €/mes,Paris,2,Monthly,24000,Internship
19,Data Analyst - Becario por mes,BNP Paribas,1.647 €/mes,Paris,2,Monthly,24000,Internship
20,Data Analyst - Becario por mes,Orange,1.380 €/mes,Paris,1,Monthly,12000,Internship
21,Data Analyst - Becario por mes,Renault,934 €/mes,Paris,934,Monthly,11208,Internship
22,Data Analyst - Becario por mes,EY,1.658 €/mes,Paris,2,Monthly,24000,Internship
23,Data Analyst - Becario por mes,EDF,1.353 €/mes,Paris,1,Monthly,12000,Internship
24,Data Analyst - Por mes,Bouygues Telecom,2.791 €/mes,Paris,3,Monthly,36000,Not determined
25,Data Analyst - Becario por mes,Bouygues Telecom,1.247 €/mes,Paris,1,Monthly,12000,Internship
26,Data Analyst,Air France,38.886 €/año,Paris,39,Yearly,39000,Not determined
27,Data Analyst,La Banque Postale,38.816 €/año,Paris,39,Yearly,39000,Not determined
28,Data Analyst,CANAL+,40.118 €/año,Paris,40,Yearly,40000,Not determined
29,Data Analyst - Becario por mes,Chanel,1.423 €/mes,Paris,1,Monthly,12000,Internship
