,job_offer,link,company,redshift,sql,kpi,py,xp,R,business,insights,tableau,looker,qlik,pbi,ab,stakeholders,quant,oper,mgmt,location,Seniority
0,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-the-economist-1884442403?refId=afcd6b2d-8601-452d-978e-95fc898b7ca6&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,The Economist,0,4,0,0,4,0,5,1,0,0,1,0,0,1,0,0,2,London,Not determined
1,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-oviva-1914561273?refId=afcd6b2d-8601-452d-978e-95fc898b7ca6&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Oviva,0,1,1,2,5,0,6,1,0,0,0,0,0,1,0,0,3,London,Not determined
2,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-s3-associates-llc-1945361338?refId=afcd6b2d-8601-452d-978e-95fc898b7ca6&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"S3-Associates, LLC",0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,London,Not determined
3,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-bt-1910176968?refId=afcd6b2d-8601-452d-978e-95fc898b7ca6&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,BT,0,1,0,0,5,0,5,0,1,0,1,0,0,2,0,0,1,London,Not determined
4,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-united-trust-bank-limited-1919612515?refId=afcd6b2d-8601-452d-978e-95fc898b7ca6&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,United Trust Bank Limited,0,1,0,1,4,1,8,2,0,0,0,0,0,0,0,0,2,London,Not determined
5,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-s3-has-now-joined-trustmarque-part-of-capita-1944315982?refId=afcd6b2d-8601-452d-978e-95fc898b7ca6&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,S3 has now joined Trustmarque (Part of Capita),0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,London,Not determined
6,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-worldpay-1912543462?refId=afcd6b2d-8601-452d-978e-95fc898b7ca6&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Worldpay,0,2,0,2,7,0,3,0,0,0,0,0,0,1,0,0,1,London,Not determined
7,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-talentpool-1942110389?refId=afcd6b2d-8601-452d-978e-95fc898b7ca6&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,TalentPool,0,1,1,0,3,0,1,0,1,0,0,0,0,1,0,0,0,London,Not determined
8,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-butternut-box-1926591285?refId=afcd6b2d-8601-452d-978e-95fc898b7ca6&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Butternut Box,0,4,0,0,5,0,2,0,1,1,0,0,0,1,0,1,1,London,Not determined
9,Global Data - Index Data Quality Analyst,https://uk.linkedin.com/jobs/view/global-data-index-data-quality-analyst-at-bloomberg-lp-1869872264?refId=afcd6b2d-8601-452d-978e-95fc898b7ca6&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Bloomberg LP,0,1,0,0,0,0,2,0,0,0,0,0,1,0,2,1,1,London,Not determined
