,job_title,company,salary,location,salary_mean,temp,seniority
0,Data Analyst,Booking.com,57.611 €/año,Amsterdam,57.611,Yearly,Not determined
1,Data Analyst,ING,59.864 €/año,Amsterdam,59.864,Yearly,Not determined
2,Data Analyst - Por mes,ING,4.732 €/mes,Amsterdam,4.732,Monthly,Not determined
3,Data Analyst,Optiver,43.339 €/año,Amsterdam,43.339,Yearly,Not determined
4,Data Analyst - Por mes,Motivaction International,2.700 €/mes,Amsterdam,2.7,Monthly,Not determined
5,Data Analyst - Por mes,ING,1.538 €/mes,Amsterdam,1.538,Monthly,Not determined
6,Data Analyst - Por mes,Rabobank,1.539 €/mes,Amsterdam,1.539,Monthly,Not determined
7,Data Analyst - Por mes,PwC,3.823 €/mes,Amsterdam,3.823,Monthly,Not determined
8,Data Analyst - Becario por mes,NIKE,801 €/mes,Amsterdam,801.0,Monthly,Not determined
9,Data Analyst - Por mes,Akzo Nobel Worldwide,2.523 £/mes,Amsterdam,2.523,Monthly,Not determined
10,Data Analyst - Por mes,Elsevier,3.695 €/mes,Amsterdam,3.695,Monthly,Not determined
11,Data Analyst,Elsevier,71.212 €/año,Amsterdam,71.212,Yearly,Not determined
12,Data Analyst - Por mes,adidas,2.991 €/mes,Amsterdam,2.991,Monthly,Not determined
13,Data Analyst,Tata Consultancy Services,40.000 €/año,Amsterdam,40.0,Yearly,Not determined
14,Data Analyst,TNT Express,149.440 €/año,Amsterdam,149.44,Yearly,Not determined
15,Data Analyst,Catawiki,47.298 €/año,Amsterdam,47.298,Yearly,Not determined
16,Data Analyst - Becario por mes,Ahold Delhaize,508 €/mes,Amsterdam,508.0,Monthly,Not determined
17,Data Analyst - Proveedor de servicios,Juniper Networks,38.061 €/año,Amsterdam,38.061,Yearly,Not determined
18,Data Analyst,Spotzer,28.084 €/año,Amsterdam,28.084,Yearly,Not determined
19,Data Analyst - Proveedor de servicios por mes,Staples,4.634 €/mes,Amsterdam,4.634,Monthly,Not determined
20,Data Analyst,Takeaway.com,50.558 €/año,Amsterdam,50.558,Yearly,Not determined
21,Data Analyst,Bynder,56.000 €/año,Amsterdam,56.0,Yearly,Not determined
22,Data Analyst,eBay,96.059 €/año,Amsterdam,96.059,Yearly,Not determined
23,Data Analyst - Por mes,Diageo,5.484 €/mes,Amsterdam,5.484,Monthly,Not determined
24,Data Analyst - Por mes,IQVIA,3.384 €/mes,Amsterdam,3.384,Monthly,Not determined
25,Data Analyst,IQVIA,39.940 €/año,Amsterdam,39.94,Yearly,Not determined
26,Data Analyst - Por mes,LeasePlan Nederland NV,4.045 €/mes,Amsterdam,4.045,Monthly,Not determined
27,Data Analyst - Por mes,MessageBird,3.600 €/mes,Amsterdam,3.6,Monthly,Not determined
28,Data Analyst,Pathé,31.672 €/año,Amsterdam,31.672,Yearly,Not determined
29,Data Analyst - Por mes,EVBox,4.570 €/mes,Amsterdam,4.57,Monthly,Not determined
30,Data Analyst - Becario por mes,FedEx,299 €/mes,Amsterdam,299.0,Monthly,Not determined
31,Data Analyst - Por mes,Quby,3.675 €/mes,Amsterdam,3.675,Monthly,Not determined
32,Data Analyst,DS Smith,39.357 €/año,Amsterdam,39.357,Yearly,Not determined
33,Data Analyst,Zivver,42.468 €/año,Amsterdam,42.468,Yearly,Not determined
